,bill,title,label
0,1,To provide for safe and affordable schools.,fail
1,2,"To amend the Internal Revenue Code of 1986 to provide tax relief for American families, and for other purposes.",fail
2,3,"To provide for fair and accurate criminal trials, reduce violent juvenile crime, promote accountability by juvenile criminals, punish and deter violent gang crime, reduce the fiscal burden imposed by criminal alien prisoners, promote safe citizen self-defense, combat the importation, production, sale, and use of illegal drugs, and for other purposes.",fail
3,4,"To amend the Fair Labor Standards Act of 1938 to provide to private sector employees the same opportunities for time-and-a-half compensatory time off, biweekly work programs, and flexible credit hour programs as Federal employees currently enjoy to help balance the demands and needs of work and family, to clarify the provisions relating to exemptions of certain professionals from the minimum wage",fail
4,5,"To establish legal standards and procedures for product liability litigation, and for other purposes.     IN THE SENATE OF THE UNITED STATES  January 21, 1997",fail
5,6,"To amend title 18, United States Code, to ban partial-birth abortions.",fail
6,7,"To establish a United States policy for the deployment of a national missile defense system, and for other purposes.",fail
7,8,"To reauthorize and amend the Comprehensive Environmental Response, Liability, and Compensation Act of 1980, and for other purposes.",fail
8,9,To protect individuals from having their money involuntarily collected and used for politics by a corporation or labor organization.,fail
9,10,"To reduce violent juvenile crime, promote accountability by juvenile criminals, punish and deter violent gang crime, and for other purposes.",fail
10,11,To reform the Federal election campaign laws applicable to Congress.,fail
11,12,To improve education for the 21st Century.     IN THE SENATE OF THE UNITED STATES,fail
12,13,To provide access to health insurance coverage for uninsured children and pregnant women.,fail
13,14,"To provide for retirement savings and security, and for other purposes.",fail
14,15,"To control youth violence, crime, and drug abuse, and for other purposes.",fail
15,16,"To ensure the continued viability of livestock producers and the livestock industry in the United States, to assure foreign countries do not deny market access to United States meat and meat products, and for other purposes.",fail
16,17,"To consolidate certain Federal job training programs by developing a system of vouchers to provide to dislocated workers and economically disadvantaged adults the opportunity to choose the type of job training that most closely meets the needs of such workers and adults, by establishing a one-stop career center system to provide high quality job training and employment-related services, and for other purposes.",fail
17,18,"To assist the States and local governments in assessing and remediating brownfield sites and encouraging environmental cleanup programs, and for other purposes.",fail
18,19,"To provide funds for child care for low-income working families, and for other purposes.",fail
19,20,To amend the Internal Revenue Code of 1986 to increase the rate and spread the benefits of economic growth and for other purposes.,fail
20,21,"To establish a medical education trust fund, and for other purposes.",fail
21,22,To establish a bipartisan national commission to address the year 2000 computer problem.,fail
22,23,"To promote a new urban agenda, and for other purposes.",fail
23,24,"To provide improved access to health care, enhance informed individual choice regarding health care services, lower health care costs through the use of appropriate providers, improve the quality of health care, improve access to long-term care, and for other purposes.",fail
24,25,To reform the financing of Federal elections.,fail
25,26,"To provide a safety net for farmers and consumers and to promote the development of farmer-owned value added processing facilities, and for other purposes.",fail
26,27,To amend title 1 of the United States Code to clarify the effect and application of legislation.,fail
27,28,"To amend title 17, United States Code, with respect to certain exemptions from copyright, and for other purposes.",fail
28,29,To repeal the Federal estate and gift taxes and the tax on generation- skipping transfers.,fail
29,30,To increase the unified estate and gift tax credit to exempt small businesses and farmers from inheritance taxes.,fail
30,31,To phase-out and repeal the Federal estate and gift taxes and the tax on generation-skipping transfers.,fail
31,32,To amend title 28 of the United States Code to clarify the remedial jurisdiction of inferior Federal courts.,fail
32,33,"To provide that a Federal justice or judge convicted of a felony shall be suspended from office without pay, to amend the retirement age and service requirements for Federal justices and judges convicted of a felony, and for other purposes.",fail
33,34,To phase out Federal funding of the Tennessee Valley Authority.,fail
34,35,"To amend the Reclamation Reform Act of 1982 to clarify the acreage limitations and incorporate a means test for certain farm operations, and for other purposes.",fail
35,36,For the relief of Ibrahim Al-Assaad.,fail
36,37,To terminate the Uniformed Services University of the Health Sciences.,fail
37,38,To reduce the number of executive branch political appointees.,fail
38,39,"To amend the Marine Mammal Protection Act of 1972 to support the International Dolphin Conservation Program in the eastern tropical Pacific Ocean, and for other purposes.",fail
39,40,"To provide Federal sanctions for practitioners who administer, dispense, or recommend the use of marihuana, and for other purposes.",fail
40,41,To prohibit the provision of Federal funds to any State or local educational agency that denies or prevents participation in constitutional prayer in schools.,fail
41,42,To protect the lives of unborn human beings.,fail
42,43,To throttle criminal use of guns.,fail
43,44,To make it a violation of a right secured by the Constitution and laws of the United States to perform an abortion with the knowledge that the abortion is being performed solely because of the gender of the fetus.,fail
44,45,To amend title X of the Public Health Service Act to permit family planning projects to offer adoption services.,fail
45,46,"To amend the Civil Rights Act of 1964 to make preferential treatment an unlawful employment practice, and for other purposes.",fail
46,47,"To prohibit the executive branch of the Federal Government from establishing an additional class of individuals that is protected against discrimination in Federal employment, and for other purposes.",fail
47,48,A BILL,fail
48,49,"To amend the wetlands regulatory program under the Federal Water Pollution Control Act to provide credit for the low wetlands loss rate in Alaska and recognize the significant extent of wetlands conservation in Alaska, to protect Alaskan property owners, and to ease the burden on overly regulated Alaskan cities, boroughs, municipalities, and villages.",fail
49,50,To amend the Internal Revenue Code of 1986 to provide a nonrefundable tax credit for the expenses of an education at a 2-year college.,fail
50,51,To amend the Internal Revenue Code of 1986 to eliminate the percentage depletion allowance for certain minerals.,fail
51,52,"To amend the Agricultural Adjustment Act to prohibit the Secretary of Agriculture from basing minimum prices for Class I milk on the distance or transportation costs from any location that is not within a marketing area, except under certain circumstances, and for other purposes.",fail
52,53,"To require the general application of the antitrust laws to major league baseball, and for other purposes.",success
53,54,"To reduce interstate street gang and organized crime activity, and for other purposes.",fail
54,55,"To amend the Dairy Production Stabilization Act of 1983 to prohibit bloc voting by cooperative associations of milk producers in connection with the program, and for other purposes.",fail
55,56,"To amend the Dairy Production Stabilization Act of 1983 to ensure that all persons who benefit from the dairy promotion and research program contribute to the cost of the program, and for other purposes.",fail
56,57,"To amend the Federal Election Campaign Act of 1971 to provide for a voluntary system of spending limits and partial public financing of Senate primary and general election campaigns, to limit contributions by multicandidate political committees, to limit soft money of political party committees, and for other purposes.",fail
57,58,To modify the estate recovery provisions of the Medicaid Program to give States the option to recover the costs of home- and community- based services for individuals over age 55.,fail
58,59,To terminate the Extremely Low Frequency Communication System of the Navy.,fail
59,60,For the relief of Benjamin M. Banfro.,fail
60,61,"To amend title 46, United States Code, to extend eligibility for veterans' burial benefits, funeral benefits, and related benefits for veterans of certain service in the United States merchant marine during World War II.",fail
61,62,"To prohibit further extension or establishment of any national monument in Idaho without full public participation and an express Act of Congress, and for other purposes.",fail
62,63,"To amend certain Federal civil rights statutes to prevent the involuntary application of arbitration to claims that arise from unlawful employment discrimination based on race, color, religion, sex, national origin, age, or disability, and for other purposes.",fail
63,64,To state the national missile defense policy of the United States.,fail
64,65,"To amend the Internal Revenue Code of 1986 to ensure that members of tax-exempt organizations are notified of the portion of their dues used for political and lobbying activities, and for other purposes.",fail
65,66,"To amend the Internal Revenue Code of 1986 to encourage capital formation through reductions in taxes on capital gains, and for other purposes.",fail
66,67,To amend the Public Health Service Act to extend the program of research on breast cancer.,fail
67,68,To establish a commission to study the impact on voter turnout of making the deadline for filing Federal income tax returns conform to the date of Federal elections.,fail
68,69,"To amend the Internal Revenue Code of 1986 to allow a one-time election of the interest rate to be used to determine present value for purposes of pension cash-out restrictions, and for other purposes.",fail
69,70,To apply the same quality and safety standards to domestically manufactured handguns that are currently applied to imported handguns.,fail
70,71,"To amend the Fair Labor Standards Act of 1938 and the Civil Rights Act of 1964 to provide more effective remedies to victims of discrimination in the payment of wages on the basis of sex, and for other purposes.",fail
71,72,"To amend the Internal Revenue Code of 1986 to provide a reduction in the capital gain rates for all taxpayers, and for other purposes.",fail
72,73,To amend the Internal Revenue Code of 1986 to repeal the corporate alternative minimum tax.,fail
73,74,"To amend the Internal Revenue Code of 1986 to limit the tax rate for certain small businesses, and for other purposes.",fail
74,75,To repeal the Federal estate and gift taxes and the tax on generation- skipping transfers.,fail
75,76,"To amend the Internal Revenue Code of 1986 to increase the expensing limitation to $250,000.",fail
76,77,To provide for one additional Federal judge for the middle district of Louisiana by transferring one Federal judge from the eastern district of Louisiana.,fail
77,78,"To provide a fair and balanced resolution to the problem of multiple imposition of punitive damages, and for other purposes.",fail
78,79,"To provide a fair and balanced resolution to the problem of multiple imposition of punitive damages, and for the reform of the civil justice system.",fail
79,80,To amend the Internal Revenue Code of 1986 to provide for the rollover of gain from the sale of farm assets into an individual retirement account.,fail
80,81,"To amend the Dairy Production Stabilization Act of 1983 to require that members of the National Dairy Promotion and Research Board be elected by milk producers and to prohibit bloc voting by cooperative associations of milk producers in the election of the producers, and for other purposes.",fail
81,82,"To amend the Internal Revenue Code of 1986 to provide a credit against tax for employers who provide child care assistance for dependents of their employees, and for other purposes.",fail
82,83,"To consolidate and revise the authority of the Secretary of Agriculture relating to plant protection and quarantine, and for other purposes.",fail
83,84,"To authorize negotiation of free trade agreements with the countries of the Americas, and for other purposes.",fail
84,85,"To authorize negotiation for the accession of Chile to the North American Free Trade Agreement, and for other purposes.",fail
85,86,"To amend the Public Health Service Act to provide, with respect to research on breast cancer, for the increased involvement of advocates in decision making at the National Cancer Institute.",fail
86,87,To amend the Public Health Service Act to provide a one-stop shopping information service for individuals with serious or life-threatening diseases.,fail
87,88,To permit individuals to continue health plan coverage of services while participating in approved clinical studies.,fail
88,89,"To prohibit discrimination against individuals and their family members on the basis of genetic information, or a request for genetic services.",fail
89,90,"To require studies and guidelines for breast cancer screening for women ages 40-49, and for other purposes.",fail
90,91,To establish an Office on Women's Health within the Department of Health and Human Services.,fail
91,92,"To amend title VII of the Civil Rights Act of 1964 to establish provisions with respect to religious accommodation in employment, and for other purposes.",fail
92,93,To increase funding for child care under the temporary assistance for needy families program.,fail
93,94,"To provide for the orderly disposal of Federal lands in Nevada, and for the acquisition of certain environmentally sensitive lands in Nevada, and for other purposes.",fail
94,95,"To provide for Federal campaign finance reform, and for other purposes.",fail
95,96,To require the Secretary of the Army to determine the validity of the claims of certain Filipinos that they performed military service on behalf of the United States during World War II.,fail
96,97,To amend the Internal Revenue Code of 1986 and the Social Security Act to require the Internal Revenue Service to collect child support through wage withholding and to eliminate State enforcement of child support obligations other than medical support obligations.,fail
97,98,To amend the Internal Revenue Code of 1986 to provide a family tax credit.,fail
98,99,"To amend the Internal Revenue Code of 1986 to allow companies to donate scientific equipment to elementary and secondary schools for use in their educational programs, and for other purposes.",fail
99,100,"To amend title 49, United States Code, to provide protection for airline employees who provide certain air safety information, and for other purposes.",fail
100,101,To amend the Public Health Service Act to provide for the training of health professions students with respect to the identification and referral of victims of domestic violence.,fail
101,102,To amend title XVIII of the Social Security Act to improve Medicare treatment and education for beneficiaries with diabetes by providing coverage of diabetes outpatient self-management training services and uniform coverage of blood-testing strips for individuals with diabetes.,fail
102,103,To amend the Immigration and Nationality Act to provide additional measures for the control of illegal immigration.,fail
103,104,To amend the Nuclear Waste Policy Act of 1982.,fail
104,105,"To repeal the habeas corpus requirement that a Federal court defer to State court judgments and uphold a conviction regardless of whether the Federal court believes that the State court erroneously interpreted constitutional law, except in cases where the Federal court believes the State court acted in an unreasonable manner.",fail
105,106,"To require that employees who participate in cash or deferred arrangements are free to determine whether to be invested in employer real property and employer securities, and if not, to protect such employees by applying the same prohibited transaction rules that apply to traditional defined benefit pension plans, and for other purposes.",fail
106,107,To require the offer in every defined benefit plan of a joint and \2/3\ survivor annuity option and to require comparative disclosure of all benefit options to both spouses.,fail
107,108,"To require annual, detailed investment reports by plans with qualified cash or deferred arrangements, and for other purposes.",fail
108,109,To provide Federal housing assistance to Native Hawaiians.,fail
109,110,"To amend the Native American Graves Protection and Repatriation Act to provide for improved notification and consent, and for other purposes.",fail
110,111,To amend the Immigration and Nationality Act to facilitate the immigration to the United States of certain aliens born in the Philippines or Japan who were fathered by United States citizens.,fail
111,112,"To amend title 18, United States Code, to regulate the manufacture, importation, and sale of ammunition capable of piercing police body armor.",fail
112,113,"To amend title VII of the Public Health Service Act to establish a psychology post-doctoral fellowship program, and for other purposes.",fail
113,114,To repeal the reduction in the deductible portion of expenses for business meals and entertainment.,fail
114,115,"To increase the role of the Secretary of Transportation in administering section 901 of the Merchant Marine Act, 1936, and for other purposes.",fail
115,116,To restore the traditional day of observance of Memorial Day.,fail
116,117,"To amend the Internal Revenue Code of 1986 to provide for the tax treatment of residential ground rents, and for other purposes.",fail
117,118,To provide for the completion of the naturalization process for certain nationals of the Philippines.,fail
118,119,"To amend title VII of the Public Health Service Act to ensure that social work students or social work schools are eligible for support under the Health Careers Opportunity Program, the Minority Centers of Excellence Program, and programs of grants for training projects in geriatrics, and to establish a social work training program.",fail
119,120,To amend title VII of the Public Health Service Act to make certain graduate programs in clinical psychology eligible to participate in various health professions loan programs.,fail
120,121,"To amend the Internal Revenue Code of 1986 to provide for 501(c)(3) bonds a tax treatment similar to governmental bonds, and for other purposes.",fail
121,122,To amend the Internal Revenue Code of 1986 to correct the treatment of tax-exempt financing of professional sports facilities.,fail
122,123,"To amend title 10, United States Code, to increase the grade provided for the heads of the nurse corps of the Armed Forces.",fail
123,124,To invest in the future of the United States by doubling the amount authorized for basic science and medical research.,fail
124,125,To provide that the Federal medical assistance percentage for any State or territory shall not be less than 60 percent.,fail
125,126,"To amend title VII of the Public Health Service Act to revise and extend certain programs relating to the education of individuals as health professionals, and for other purposes.",fail
126,127,"To amend the Internal Revenue Code of 1986 to make permanent the exclusion for employer-provided educational assistance programs, and for other purposes.",fail
127,128,"To amend the Public Health Service Act to provide health care practitioners in rural areas with training in preventive health care, including both physical and mental care, and for other purposes.",fail
128,129,"To amend title 10, United States Code, to authorize certain disabled former prisoners of war to use Department of Defense commissary and exchange stores.",fail
129,130,To amend the Internal Revenue Code of 1986 to provide a credit for the purchase of child restraint systems used in motor vehicles.,fail
130,131,"To amend chapter 5 of title 13, United States Code, to require that any data relating to the incidence of poverty produced or published by the Secretary of Commerce for subnational areas is corrected for differences in the cost of living in those areas.",fail
131,132,"To prohibit the use of certain ammunition, and for other purposes.",fail
132,133,"To amend the Internal Revenue Code of 1986 to increase the tax on handgun ammunition, to impose the special occupational tax and registration requirements on importers and manufacturers of handgun ammunition, and for other purposes.",fail
133,134,"To amend title 18, United States Code, with respect to the licensing of ammunition manufacturers, and for other purposes.",fail
134,135,"A bill to provide for the collection and dissemination of information on injuries, death, and family dissolution due to bullet-related violence, to require the keeping of records with respect to dispositions of ammunition, and to increase taxes on certain bullets.",fail
135,136,"To amend chapter 44 of title 18, United States Code, to prohibit the manufacture, transfer, or importation of .25 caliber and .32 caliber and 9 millimeter ammunition.",fail
136,137,"To tax 9 millimeter, .25 caliber, and .32 caliber bullets.",fail
137,138,"To eliminate certain benefits for Members of Congress, and for other purposes.",fail
138,139,To amend titles II and XVIII of the Social Security Act to prohibit the use of social security and Medicare trust funds for certain expenditures relating to union representatives at the Social Security Administration and the Department of Health and Human Services.,fail
139,140,To improve the Personal Responsibility and Work Opportunity Reconciliation Act of 1996.,fail
140,141,To reorder United States budget priorities with respect to United States assistance to foreign countries and international organizations.,fail
141,142,To amend the Fair Labor Housing Act.,fail
142,143,To amend the Public Health Service Act and Employee Retirement Income Security Act of 1974 to require that group and individual health insurance coverage and group health plans provide coverage for a minimum hospital stay for mastectomies and lymph node dissections performed for the treatment of breast cancer.,fail
143,144,"To establish the Commission to Study the Federal Statistical System, and for other purposes.",fail
144,145,To repeal the prohibition against government restrictions on communications between government agencies and the IN,fail
145,146,"To permit medicare beneficiaries to enroll with qualified provider- sponsored organizations under title XVIII of the Social Security Act, and for other purposes.",fail
146,147,"To amend title XIX of the Social Security Act to provide for coverage of alcoholism and drug dependency residential treatment services for pregnant women and certain family members under the Medicaid program, and for other purposes.",fail
147,148,To amend the Public Health Service Act to provide a comprehensive program for the prevention of Fetal Alcohol Syndrome.,fail
148,149,To amend the National Narcotics Leadership Act of 1988 to establish qualification standards for individuals nominated to be the Deputy Director of Demand Reduction in the Office of National Drug Control Policy.,fail
149,150,"To amend section 552 of title 5, United States Code (commonly referred to as the Freedom of Information Act), to provide for disclosure of information relating to individuals who committed Nazi war crimes, and for other purposes.",fail
150,151,"For the relief of Dr. Yuri F. Orlov of Ithaca, New York.",fail
151,152,"To provide for the relief and payment of an equitable claim to the estate of Dr. Beatrice Braude of New York, New York.",fail
152,153,"To amend the Age Discrimination in Employment Act of 1967 to allow institutions of higher eduction to offer faculty members who are serving under an arrangement providing for unlimited tenure, benefits on voluntary retirement that are reduced or eliminated on the basis of age, and for other purposes.",fail
153,154,"To improve Orchard Beach, New York.",fail
154,155,"To redesignate General Grant National Memorial as Grant's Tomb National Monument, and for other purposes.",fail
155,156,"To provide certain benefits of the Pick-Sloan Missouri River Basin program to the Lower Brule Sioux Tribe, and for other purposes.",success
156,157,To amend title XIX of the Social Security Act to provide for coverage of services provided by nursing school clinics under State Medicaid programs.,fail
157,158,"To amend title XVIII of the Social Security Act to provide improved reimbursement for clinical social worker services under the medicare program, and for other purposes.",fail
158,159,"To amend title XVIII of the Social Security Act to remove the restriction that a clinical psychologist or clinical social worker provide services in a comprehensive outpatient rehabilitation facility to a patient only under the care of a physician, and for other purposes.",fail
159,160,"To amend title 5, United States Code, to require the issuance of a prisoner-of-war medal to civilian employees of the Federal Government who are forcibly detained or interned by an enemy government or a hostile force under wartime conditions.",fail
160,161,"To amend title 38, United States Code, to revise certain provisions relating to the appointment of clinical and counseling psychologists in the Veterans Health Administration, and for other purposes.",fail
161,162,"To amend title 10, United States Code, to permit former members of the Armed Forces who have a service-connected disability rated as total to travel on military aircraft in the same manner and to the same extent as retired members of the Armed Forces are entitled to travel on such aircraft.",fail
162,163,To recognize the organization known as the National Academies of Practice.,fail
